tender_no,nature,awarded_to,l1_price,basic,qty,category,comp_a,comp_c,comp_d,comp_b,comp_e,comp_h,comp_i,comp_j,comp_k,comp_l,zone,division,year,month,day
55089,supply,comp_b,2940.0,2491.5,3500,r260,3790.03,3238.24,0.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2023,10,13
55089,supply,comp_b,3077.0,2607.6,450,r260cmb,3966.6,3389.11,0.0,3077.0,0.0,0.0,0.0,0.0,0.0,0.0,WCR,JBP,2023,10,13
55090,supply,comp_a,2066.0,1750.8,3870,60kg,2066.0,2222.27,2519.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ECOR,WAT,2023,10,16
55091,supervision,comp_a,3230.13,2737.4,900,52kg,3230.13,0.0,3930.155,5793.69,0.0,0.0,0.0,0.0,0.0,0.0,ER,SDAH,2023,10,20
55091,supervision,comp_a,3236.0,2742.4,1500,60kg,3236.0,0.0,4059.82,5984.85,0.0,0.0,0.0,0.0,0.0,0.0,ER,SDAH,2023,10,20
55091,supervision,comp_a,4644.0,3935.6,100,60/52cmb,4644.0,0.0,5651.02,8330.54,0.0,0.0,0.0,0.0,0.0,0.0,ER,SDAH,2023,10,20
55091,execution,comp_a,6067.0,5141.5,20,60/52cmb,6067.0,0.0,7382.15,10882.5,0.0,0.0,0.0,0.0,0.0,0.0,ER,SDAH,2023,10,20
55092,supply,comp_a,2054.74,1741.3,2400,r260,2054.74,0.0,0.0,2243.33,0.0,0.0,0.0,0.0,0.0,0.0,ECR,DHN,2023,11,13
55093,execution,comp_c,4415.0,3741.5,1222,52kg,7852.16,4415.0,6845.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NER,LKO,2023,11,23
55094,supply,comp_c,2311.0,1958.5,100,52kg,3216.41,2311.0,2593.9,11933.0,0.0,0.0,0.0,0.0,0.0,0.0,NER,CAO,2023,11,24
55094,supply,comp_c,2281.0,1933.1,100,60kg,3258.43,2281.0,2627.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NER,CAO,2023,11,24
55094,supply,comp_c,2178.0,1845.8,400,r260,3070.33,2178.0,2565.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NER,CAO,2023,11,24
55094,supply,comp_c,2885.0,2444.9,150,r260cmb,4066.15,2885.0,3279.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NER,CAO,2023,11,24
55094,execution,comp_c,1716.0,1454.2,750,60/52cmb,3901.7,1716.0,1796.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NER,CAO,2023,11,24
55095,supply,comp_b,2141.7,1815.0,76790,60kg,2010.0,1886.0,1928.75,2141.7,0.0,0.0,0.0,0.0,0.0,0.0,SCR,STORES,2023,11,24
55095,supply,comp_c,2397.76,2032.0,65028,r260,2078.0,2397.76,2087.0,0.0,0.0,2885.0,0.0,0.0,0.0,0.0,SCR,STORES,2023,11,24
55095,supply,comp_c,2087.42,1769.0,13313,52kg,1920.0,2087.42,1812.0,1800.0,0.0,2885.0,0.0,0.0,0.0,0.0,SCR,STORES,2023,11,24
55096,execution,comp_a,3510.0,2974.6,550,r260,3510.0,4400.3,3510.7,4612.0,0.0,0.0,0.0,0.0,0.0,0.0,SECR,NGP,2023,11,24
55096,supervision,comp_a,2158.0,1828.8,344,60kg,2158.0,2800.0,2926.5,2480.0,0.0,0.0,0.0,0.0,0.0,0.0,SECR,NGP,2023,11,24
55096,supervision,comp_a,2094.0,1774.6,1078,52kg,2094.0,2600.2,2808.4,2332.0,0.0,0.0,0.0,0.0,0.0,0.0,SECR,NGP,2023,11,24
55097,execution,comp_b,4866.0,4123.7,700,r260,7031.94,5665.6,0.0,4866.0,0.0,0.0,0.0,0.0,0.0,0.0,NCR,JHS,2023,11,30
55097,execution,comp_b,4786.0,4055.9,250,60kg,7149.76,5760.53,0.0,4786.0,0.0,0.0,0.0,0.0,0.0,0.0,NCR,JHS,2023,11,30
55097,execution,comp_b,4786.0,4055.9,250,52kg,7031.94,5665.6,0.0,4786.0,0.0,0.0,0.0,0.0,0.0,0.0,NCR,JHS,2023,11,30
55098,supervision,comp_b,1560.0,1322.4,600,60kg,1651.03,1711.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,DDU,2023,12,6
55098,supervision,comp_b,1838.0,1557.8,200,52kg,1944.84,2015.71,0.0,1838.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,DDU,2023,12,6
55098,supervision,comp_b,2002.0,1696.4,2150,r260,2117.95,2195.13,0.0,2002.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,DDU,2023,12,6
55099,supply,comp_a,1923.0,1629.7,300,52kg,1923.0,1890.91,2490.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,SEE,2023,12,6
55099,supply,comp_a,2094.0,1774.8,1227,r260,2094.0,2059.21,2712.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,SEE,2023,12,6
55100,supply,comp_b,1759.0,1490.7,4000,r260,1897.09,1986.3,0.0,1759.0,0.0,0.0,0.0,0.0,0.0,0.0,NCR,PRYJ,2023,12,6
55101,supply,comp_a,4130.0,3500.0,230,hh1080,4130.0,0.0,4354.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DMRC,STORES,2023,12,7
55102,supply,comp_c,1959.2,1660.37,4760,r260,5148.92,1959.2,2463.91,2158.0,0.0,0.0,0.0,0.0,0.0,0.0,ECOR,WAT,2023,12,12
55103,supply,comp_d,2800.0,2372.88,640,52kg,5749.0,3800.0,2800.0,5000.0,0.0,0.0,0.0,6289.0,0.0,0.0,NER,BSB,2023,12,20
